from_date,to_date,pm25,pm10,no,nh3,no2,nox,so2,co,ozone,bp,wind_speed,air_temp,humidity,rainfall
2017-01-01 00:00:00,2017-01-01 01:00:00,212.535,326.43625,54.38090909090909,82.325,51.67909090909091,99.99199999999999,16.894,2.0325,20.78,791.5060000000001,0.5650000000000001,12.128,85.46714285714286,0.0
2017-01-01 01:00:00,2017-01-01 02:00:00,221.62666666666667,349.7942857142857,57.86899999999999,81.74333333333334,50.839999999999996,104.84444444444445,15.530000000000001,2.3085714285714287,20.205,791.42,0.595,11.6,86.11,0.0
2017-01-01 02:00:00,2017-01-01 03:00:00,217.65,336.09625,42.166363636363634,71.38166666666666,43.699090909090906,78.736,13.922,1.62375,46.0625,791.38,0.49833333333333335,11.336,86.74857142857142,0.0
2017-01-01 03:00:00,2017-01-01 04:00:00,226.055,307.7325,41.658181818181816,70.26833333333333,38.291818181818186,72.84299999999999,13.780000000000001,1.5685714285714287,27.97,791.54,0.5316666666666666,10.564,86.73285714285714,0.0
2017-01-01 04:00:00,2017-01-01 05:00:00,219.32555555555555,277.06428571428575,56.181,61.455000000000005,34.336,92.03444444444443,15.322,1.8683333333333334,16.595,791.634,0.3866666666666667,9.9,87.37714285714286,0.0
2017-01-01 05:00:00,2017-01-01 06:00:00,206.13222222222223,279.0385714285714,89.20700000000001,74.08999999999999,33.158,134.8777777777778,17.035,2.0083333333333333,21.877499999999998,791.868,0.3866666666666667,9.538,87.97428571428573,0.0
2017-01-01 06:00:00,2017-01-01 07:00:00,230.58999999999997,312.448,103.61375,73.74833333333333,38.83875,150.64714285714285,15.884,2.56,10.773333333333333,791.92,0.3666666666666667,9.614,88.09142857142857,0.0
2017-01-01 07:00:00,2017-01-01 08:00:00,215.56857142857143,305.798,116.00125,78.35,41.15,166.53714285714287,16.778,2.71,40.98333333333333,792.054,0.385,9.656,88.03428571428572,0.0
2017-01-01 08:00:00,2017-01-01 09:00:00,208.44285714285712,377.26599999999996,121.69874999999999,89.64666666666666,56.6875,191.82285714285715,19.332,2.974,14.475,792.018,0.3833333333333333,11.288,88.71857142857142,0.0
2017-01-01 09:00:00,2017-01-01 10:00:00,253.34,465.616,57.30375,72.645,84.14,121.04428571428572,21.63,2.406,54.906666666666666,791.77,0.6816666666666666,14.187999999999999,84.18571428571428,0.0
2017-01-01 10:00:00,2017-01-01 11:00:00,242.27857142857144,349.824,28.05625,59.73666666666667,78.38125,84.03428571428572,27.136000000000003,2.218,33.57666666666666,791.702,1.1066666666666667,16.857999999999997,74.49142857142859,0.0
